Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Subtask,WMSF-96,10228,Vẽ biểu đồ UseCase cho actor 'Staff',Văn Đức Anh ,712020:90bbde8c-864f-4aa4-b84b-8d0c764d682f,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,Done,Done,17/Apr/26 10:37 AM,25/Apr/26 7:45 PM,
Subtask,WMSF-95,10226,Vẽ biểu đồ UseCase cho actor 'QA/QC',dung nguyentien,712020:1603fac4-982b-4df2-b1d2-dd62fc18f3f7,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,Done,Done,17/Apr/26 10:35 AM,26/Apr/26 8:48 AM,
Subtask,WMSF-94,10224,Vẽ biểu đồ UseCase cho actor 'Admin',Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,Done,Done,17/Apr/26 10:30 AM,25/Apr/26 7:45 PM,
Subtask,WMSF-93,10222,Vẽ Software Architecture,Văn Đức Anh ,712020:90bbde8c-864f-4aa4-b84b-8d0c764d682f,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,Done,Done,17/Apr/26 10:12 AM,26/Apr/26 8:47 AM,
Subtask,WMSF-92,10220,Vẽ System Architecture ,dung nguyentien,712020:1603fac4-982b-4df2-b1d2-dd62fc18f3f7,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,Done,Done,17/Apr/26 10:12 AM,26/Apr/26 8:47 AM,
Task,WMSF-18,10017,Khởi tạo dự án WMS_MiniFulfillment,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,Done,Done,12/Apr/26 10:05 PM,19/Apr/26 6:45 PM,
Task,WMSF-17,10016,Vẽ Architecture Diagram,,,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,Done,Done,12/Apr/26 9:54 PM,25/Apr/26 3:01 PM,
Task,WMSF-16,10015,Cấu hình file appsettings.json và .env ,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,Done,Done,12/Apr/26 9:53 PM,20/Apr/26 6:32 AM,
Task,WMSF-15,10014,Vẽ biểu đồ phân rã chức năng,Văn Đức Anh ,712020:90bbde8c-864f-4aa4-b84b-8d0c764d682f,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,Done,Done,12/Apr/26 9:49 PM,20/Apr/26 11:40 PM,
Task,WMSF-12,10011,Vẽ biểu đồ ERD,dung nguyentien,712020:1603fac4-982b-4df2-b1d2-dd62fc18f3f7,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,Done,Done,12/Apr/26 9:20 PM,25/Apr/26 7:44 PM,
Task,WMSF-9,10008,Vẽ biểu đồ UseCase,,,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,Done,Done,12/Apr/26 9:14 PM,25/Apr/26 7:45 PM,
Task,WMSF-7,10006,Setup Database SQL Server,,,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,Done,Done,12/Apr/26 9:01 PM,20/Apr/26 12:14 AM,
Task,WMSF-6,10005,"Viết đặc tả, phân tích thiết kế hệ thống",Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,Done,Done,12/Apr/26 9:01 PM,18/Apr/26 8:47 AM,
Epic,WMSF-1,10000,TÀI LIỆU & THIẾT KẾ,,,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,To Do,,12/Apr/26 8:46 PM,12/Apr/26 8:49 PM,
